player_id,club_id,name,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,url
58267,1075,andre-castro,Andre Castro,Portugal,Portugal,1988-04-02,Midfield,Central Midfield,Right,181,https://www.transfermarkt.co.uk/andre-castro/profil/spieler/58267
667121,1075,rodrigo-gomes,Rodrigo Gomes,Portugal,Portugal,2003-07-07,Attack,Right Winger,Right,180,https://www.transfermarkt.co.uk/rodrigo-gomes/profil/spieler/667121
261927,1075,ricardo-horta,Ricardo Horta,Portugal,Portugal,1994-09-15,Attack,Second Striker,Right,173,https://www.transfermarkt.co.uk/ricardo-horta/profil/spieler/261927
130756,7378,giannelli-imbula,Giannelli Imbula,Belgium,DR Congo,1992-09-12,Midfield,Defensive Midfield,Left,186,https://www.transfermarkt.co.uk/giannelli-imbula/profil/spieler/130756
375039,7378,emmanuel-hackman,Emmanuel Hackman,Ghana,Ghana,1995-05-14,Defender,Right-Back,Right,187,https://www.transfermarkt.co.uk/emmanuel-hackman/profil/spieler/375039
517300,1075,vitor-tormena,Vitor Tormena,Brazil,Brazil,1996-01-04,Defender,Centre-Back,Right,192,https://www.transfermarkt.co.uk/vitor-tormena/profil/spieler/517300
312123,7378,lucas-possignolo,Lucas Possignolo,São Paulo,Brazil,1994-05-11,Defender,Centre-Back,Right,188,https://www.transfermarkt.co.uk/lucas-possignolo/profil/spieler/312123
520530,7378,fali-cande,Fali Cande,Guinea-Bissau,Guinea-Bissau,1998-01-24,Defender,Left-Back,Left,184,https://www.transfermarkt.co.uk/fali-cande/profil/spieler/520530
375820,7378,henrique,Henrique,Rio Grande do Sul,Brazil,1995-01-05,Defender,Left-Back,Left,179,https://www.transfermarkt.co.uk/henrique/profil/spieler/375820
613505,7378,raphael-aflalo,Raphael Aflalo,Brazil,Brazil,1996-07-08,Goalkeeper,,Right,190,https://www.transfermarkt.co.uk/raphael-aflalo/profil/spieler/613505
9413,7378,ricardo-vaz-te,Ricardo Vaz Te,Portugal,Portugal,1986-10-01,Attack,Right Winger,Right,188,https://www.transfermarkt.co.uk/ricardo-vaz-te/profil/spieler/9413
564700,7378,jafar-salmani,Jafar Salmani,Iran,Iran,1997-01-12,Attack,Left Winger,Left,176,https://www.transfermarkt.co.uk/jafar-salmani/profil/spieler/564700
59508,7378,ricardo-ferreira,Ricardo Ferreira,Portugal,Portugal,1989-12-03,Goalkeeper,,Right,0,https://www.transfermarkt.co.uk/ricardo-ferreira/profil/spieler/59508
214699,7378,guilherme-lazaroni,Guilherme Lazaroni,São Paulo,Brazil,1992-11-18,Defender,Left-Back,Right,182,https://www.transfermarkt.co.uk/guilherme-lazaroni/profil/spieler/214699
310822,7378,koki-anzai,Koki Anzai,Japan,Japan,1995-05-31,Defender,Right-Back,Right,172,https://www.transfermarkt.co.uk/koki-anzai/profil/spieler/310822
411661,7378,fernando-medeiros,Fernando Medeiros,Brazil,Brazil,1996-02-10,Midfield,Central Midfield,Left,181,https://www.transfermarkt.co.uk/fernando-medeiros/profil/spieler/411661
651205,7378,luquinha,Luquinha,Brazil,Brazil,2000-10-03,Midfield,Attacking Midfield,Right,167,https://www.transfermarkt.co.uk/luquinha/profil/spieler/651205
280239,7378,seung-woo-lee,Seung Woo Lee,"Korea, South","Korea, South",1998-01-06,Attack,Left Winger,Right,173,https://www.transfermarkt.co.uk/seung-woo-lee/profil/spieler/280239
75442,1075,nico-gaitan,Nico Gaitan,Argentina,Argentina,1988-02-23,Midfield,Attacking Midfield,Left,174,https://www.transfermarkt.co.uk/nico-gaitan/profil/spieler/75442
